ZYYXXZIII	(-8.98165204414806e-05+0j)
IXYXYIIII	(8.98165204414806e-05+0j)
IIZIZIIII	(0.05929524181655195+0j)
ZXXIZIIII	(-0.004907478795103232+0j)
IYYZZIIII	(-0.004907478795103232+0j)
IZZZZIIII	(0.0683292426650503+0j)
ZZIZZIIII	(0.08424382575133195+0j)
ZXYYZIIII	(-0.002637285511540799+0j)
IYYXIIIII	(0.002637285511540799+0j)
IZIXZIIII	(-0.004685761056460265+0j)
IZZXIIIII	(0.004685761056460265+0j)
ZZZXZIIII	(-0.0017860067890511924+0j)
ZZIXIIIII	(0.0017860067890511924+0j)
ZYYXZIIII	(-0.009767492701505006+0j)
IXYYIIIII	(0.009767492701505006+0j)
IZIZIIIII	(0.06009702977667691+0j)
ZZZZIIIII	(0.05433230633363221+0j)
ZYYZIIIII	(-0.002948202413268426+0j)
IXXIIIIII	(-0.002948202413268426+0j)
ZIZIIIIII	(0.06428519917726597+0j)
